Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2020-04-26 11-AM,ETHEUR,182.3,184.75,182.3,184.75,4.295,792.49
2020-04-26 10-AM,ETHEUR,180.7,182.3,180.7,182.3,17.58,3204.01
2020-04-26 09-AM,ETHEUR,180.7,180.7,180.7,180.7,0.0,0.0
2020-04-26 08-AM,ETHEUR,180.7,180.7,180.7,180.7,0.0,0.0
2020-04-26 07-AM,ETHEUR,180.7,180.7,180.7,180.7,0.0,0.0
2020-04-26 06-AM,ETHEUR,182.29,182.29,180.7,180.7,0.02795,5.05
2020-04-26 05-AM,ETHEUR,182.29,182.29,182.29,182.29,0.0,0.0
2020-04-26 04-AM,ETHEUR,182.29,182.29,182.29,182.29,0.0,0.0
2020-04-26 03-AM,ETHEUR,182.29,182.29,182.29,182.29,1.649,300.62
2020-04-26 02-AM,ETHEUR,182.29,182.29,182.29,182.29,0.0,0.0
2020-04-26 01-AM,ETHEUR,179.99,182.29,179.99,182.29,1.646,300.06
2020-04-26 12-AM,ETHEUR,179.99,179.99,179.99,179.99,0.0,0.0
2020-04-25 11-PM,ETHEUR,179.99,179.99,179.99,179.99,9.25,1664.9
2020-04-25 10-PM,ETHEUR,179.99,179.99,179.99,179.99,0.1667,30.0
2020-04-25 09-PM,ETHEUR,178.92,179.99,178.92,179.99,6.945,1249.99
2020-04-25 08-PM,ETHEUR,178.5,178.92,178.5,178.92,2.461,440.38
2020-04-25 07-PM,ETHEUR,180.99,180.99,178.5,178.5,3.214,573.63
2020-04-25 06-PM,ETHEUR,180.99,180.99,180.99,180.99,0.0,0.0
2020-04-25 05-PM,ETHEUR,179.67,180.99,179.67,180.99,15.55,2810.43
2020-04-25 04-PM,ETHEUR,180,180.78,179.67,179.67,3.596,649.24
2020-04-25 03-PM,ETHEUR,179.99,181.86,179.99,180,38.48,6994.76
2020-04-25 02-PM,ETHEUR,179.67,181,179.67,179.99,2.037,367.04
