"timestamp","rate"
"2016-01-01T00:00:00Z","434.39009762924526159068002981038991"
"2016-01-02T00:00:00Z","433.63835972387685645562104165699571"
"2016-01-03T00:00:00Z","429.030405549317806405607447642538861395"
"2016-01-04T00:00:00Z","433.80036922598279724785946392553373"
"2016-01-05T00:00:00Z","432.58797834184424667142570847425732"
"2016-01-06T00:00:00Z","429.63709717957376456915975641140352"
"2016-01-07T00:00:00Z","458.61440080098821494177830732021955"
"2016-01-08T00:00:00Z","453.67821621284627882359810763939357"
"2016-01-09T00:00:00Z","449.14423955049343881032564413874363"
"2016-01-10T00:00:00Z","448.99700208565843985220677787801255"
"2016-01-11T00:00:00Z","449.26844889848141130288341975908105"
"2016-01-12T00:00:00Z","433.22640812743044577797649702277064"
"2016-01-13T00:00:00Z","431.53849470848724131781823864035827"
"2016-01-14T00:00:00Z","430.63022841173626278383392912110437"
"2016-01-15T00:00:00Z","359.63256967427053663348357138012107"
"2016-01-16T00:00:00Z","388.67144627667033779484589652149399"
"2016-01-17T00:00:00Z","381.40969822561714908191532550576358"
"2016-01-18T00:00:00Z","386.84604909145296247472055613402742"
"2016-01-19T00:00:00Z","378.68918291360498651542357985512832"
"2016-01-20T00:00:00Z","419.50271362389539651551289727730906"
"2016-01-21T00:00:00Z","411.38796715334627864268620759411481"
"2016-01-22T00:00:00Z","382.20342116431540715031151654298679"
"2016-01-23T00:00:00Z","386.63147079363822638004704987531560"
"2016-01-24T00:00:00Z","403.16856295359586139147121231312585"
"2016-01-25T00:00:00Z","391.66839237225196169556568927975895"
"2016-01-26T00:00:00Z","392.35003132557897911942117592639605"
"2016-01-27T00:00:00Z","395.50841271721272075904747834167018"
"2016-01-28T00:00:00Z","379.18250772465013376862519856132190"
"2016-01-29T00:00:00Z","378.32226357529835578833932841369474"
"2016-01-30T00:00:00Z","377.911696119204459123383535959757245714"
"2016-01-31T00:00:00Z","367.255629611918693936686850800468513453"
"2016-02-01T00:00:00Z","371.77543523094694370754400364282625"
"2016-02-02T00:00:00Z","373.38955079005180481334507972981609"
"2016-02-03T00:00:00Z","369.12450846979183501905217093362230"
"2016-02-04T00:00:00Z","389.99244363132017273957915765592170"
"2016-02-05T00:00:00Z","386.87085887991496087976516355358629"
"2016-02-06T00:00:00Z","374.72838027942344805468336086392708"
"2016-02-07T00:00:00Z","374.185092366815958015400331556172711759"
"2016-02-08T00:00:00Z","371.02025649713102454441782325342158"
"2016-02-09T00:00:00Z","374.43339377221207606656257229077182"
"2016-02-10T00:00:00Z","381.06211394075230152510219070256352"
"2016-02-11T00:00:00Z","378.75472287397592474396433024640439"
"2016-02-12T00:00:00Z","383.90854341292988273606008169292402"
"2016-02-13T00:00:00Z","392.86696987775009292835074096389968"
"2016-02-14T00:00:00Z","408.30358756331395397181642250884200"
"2016-02-15T00:00:00Z","400.12978240962272366493630439252298"
"2016-02-16T00:00:00Z","407.79888470973570966244543371844628"
"2016-02-17T00:00:00Z","415.42057003091764673436635289558700"
"2016-02-18T00:00:00Z","421.94807885144176294982287646314530"
"2016-02-19T00:00:00Z","420.55943139414876833787387498284419"
"2016-02-20T00:00:00Z","438.30028326684359622085438388868505"
"2016-02-21T00:00:00Z","439.83118804024747165309152214795776"
"2016-02-22T00:00:00Z","439.41952424173824531216070100338016"
"2016-02-23T00:00:00Z","421.36574793762808819864765959642353"
"2016-02-24T00:00:00Z","426.03283923595686264927105720587330"
"2016-02-25T00:00:00Z","425.06222570290716909106420957174904"
"2016-02-26T00:00:00Z","435.52686117907295205356939615639414"
"2016-02-27T00:00:00Z","434.81414013002792925114131941215074"
"2016-02-28T00:00:00Z","434.91234706381002364216274050265339"
"2016-02-29T00:00:00Z","438.57655243797524959959306622798284"
"2016-03-01T00:00:00Z","434.90684161672633953555394173718990"
"2016-03-02T00:00:00Z","422.29918963637943750068670735261575"
"2016-03-03T00:00:00Z","420.71188528728264661762612007974529"
"2016-03-04T00:00:00Z","409.32742308605743722678254743599575"
"2016-03-05T00:00:00Z","397.75609228161869167158133345735674"
"2016-03-06T00:00:00Z","404.61720645068013575903613321166254"
"2016-03-07T00:00:00Z","412.91967158855448934191349240894357"
"2016-03-08T00:00:00Z","412.82343015023094284355449374021129"
"2016-03-09T00:00:00Z","413.624891264723168538180833318270949981"
"2016-03-10T00:00:00Z","414.52357967894367105072177544975164"
"2016-03-11T00:00:00Z","420.37457468064594873905057796929192"
"2016-03-12T00:00:00Z","409.97435955813946859054384982514576"
"2016-03-13T00:00:00Z","411.86427313280224832857764706353421"
"2016-03-14T00:00:00Z","416.38424808645306179082365647702976"
"2016-03-15T00:00:00Z","416.71213185052098891110164671866827"
"2016-03-16T00:00:00Z","416.52893298910781048272457043287648"
"2016-03-17T00:00:00Z","420.29963703033165945836724062931649"
"2016-03-18T00:00:00Z","409.11789932941871410589599887416383"
"2016-03-19T00:00:00Z","410.34954747989875818563044644252278"
"2016-03-20T00:00:00Z","412.76986166628750087362029195173907"
"2016-03-21T00:00:00Z","412.87976265429634006150039995859916"
"2016-03-22T00:00:00Z","418.26544189210936895437136919528626"
"2016-03-23T00:00:00Z","418.46948364659874530731723499096542"
"2016-03-24T00:00:00Z","416.55647815573514910532766382423797"
"2016-03-25T00:00:00Z","418.15934272249866643416704109508772"
"2016-03-26T00:00:00Z","418.53749255060937694392041355905999"
"2016-03-27T00:00:00Z","427.80043241553119982786104837613108"
"2016-03-28T00:00:00Z","425.25433557357369802455376810544696"
"2016-03-29T00:00:00Z","416.67913693565909256624473212514868"
