Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-04-26 06-PM,BTCEUR,7048.72,7175.08,7048.72,7098.26,1.242,8892.63
2020-04-26 05-PM,BTCEUR,7059.4,7059.4,7040.91,7048.72,0.02255,158.98
2020-04-26 04-PM,BTCEUR,7043.01,7079,7040.65,7059.4,0.232,1640.08
2020-04-26 03-PM,BTCEUR,7130,7162.45,7040.65,7043.01,1.161,8283.38
2020-04-26 02-PM,BTCEUR,7168.06,7199.94,7130,7130,5.426,39034.65
2020-04-26 01-PM,BTCEUR,7175.4,7195.16,7129.36,7168.06,8.454,60673.13
2020-04-26 12-PM,BTCEUR,7170,7181.97,7115.57,7175.4,1.962,14038.91
2020-04-26 11-AM,BTCEUR,7096.78,7170,7040.77,7170,0.4669,3341.46
2020-04-26 10-AM,BTCEUR,7040.62,7130,7040.62,7096.78,1.061,7500.96
2020-04-26 09-AM,BTCEUR,6996.02,7040.63,6996.02,7040.62,2.283,16051.12
2020-04-26 08-AM,BTCEUR,7014.72,7049.51,6995.16,6996.02,4.53,31749.9
2020-04-26 07-AM,BTCEUR,7000,7056.86,7000,7014.72,0.4588,3234.79
2020-04-26 06-AM,BTCEUR,7010,7010,6978.16,7000,0.08291,579.17
2020-04-26 05-AM,BTCEUR,6994.36,7010.01,6992.06,7010,0.1895,1327.95
2020-04-26 04-AM,BTCEUR,7003.37,7009.03,6986.24,6994.36,0.03075,215.15
2020-04-26 03-AM,BTCEUR,7010.45,7015.33,7000.97,7003.37,0.01898,133.01
2020-04-26 02-AM,BTCEUR,7078.01,7078.01,6999.65,7010.45,0.0571,400.36
2020-04-26 01-AM,BTCEUR,6994.81,7078.01,6985.43,7078.01,0.06478,454.65
2020-04-26 12-AM,BTCEUR,7011.22,7050.4,6982.31,6994.81,2.074,14567.65
2020-04-25 11-PM,BTCEUR,6978.91,7011.22,6978.91,7011.22,0.0009003,6.312
2020-04-25 10-PM,BTCEUR,6978.91,6978.91,6978.91,6978.91,0.0,0.0
2020-04-25 09-PM,BTCEUR,6982.34,7056.86,6978.75,6978.91,1.151,8067.86
2020-04-25 08-PM,BTCEUR,6986.48,6999.81,6982.15,6982.34,0.05263,367.79
2020-04-25 07-PM,BTCEUR,6983.79,7044.82,6977.01,6986.48,0.06063,423.47
2020-04-25 06-PM,BTCEUR,6981.6,7041.28,6979.08,6983.79,0.09166,640.31
2020-04-25 05-PM,BTCEUR,6988.71,7052.23,6981.55,6981.6,0.03446,241.33
2020-04-25 04-PM,BTCEUR,6999,7062.37,6973.12,6988.71,2.318,16277.89
2020-04-25 03-PM,BTCEUR,7050,7100,6999,6999,0.6814,4787.05
2020-04-25 02-PM,BTCEUR,7016.95,7050,6999.01,7050,0.2686,1886.2
2020-04-25 01-PM,BTCEUR,7000.05,7050,7000.05,7016.95,0.4723,3322.31
2020-04-25 12-PM,BTCEUR,6979.22,7023.64,6977,7000.05,0.0507,355.24
2020-04-25 11-AM,BTCEUR,6993.42,7013.41,6971.83,6979.22,0.0683,477.88
2020-04-25 10-AM,BTCEUR,6947.94,7027.46,6947.94,6993.42,0.7806,5478.3
2020-04-25 09-AM,BTCEUR,6981.42,7008.14,6947.94,6947.94,0.004005,27.89
2020-04-25 08-AM,BTCEUR,6998.36,7016.58,6925.95,6981.42,0.1016,711.37
2020-04-25 07-AM,BTCEUR,7030.71,7030.71,6994.36,6998.36,0.04611,322.58
2020-04-25 06-AM,BTCEUR,6973.08,7030.71,6968.24,7030.71,0.1321,923.54
2020-04-25 05-AM,BTCEUR,6959.09,6973.12,6959.09,6973.08,0.3685,2569.06
2020-04-25 04-AM,BTCEUR,6956.62,6959.09,6948.12,6959.09,0.0481,334.55
2020-04-25 03-AM,BTCEUR,6905,6987.96,6905,6956.62,0.3718,2592.09
2020-04-25 02-AM,BTCEUR,6931.84,6939.08,6905,6905,0.1747,1208.42
2020-04-25 01-AM,BTCEUR,6921.71,6931.84,6901.65,6931.84,0.0875,605.56
2020-04-25 12-AM,BTCEUR,6938.85,6938.85,6914.74,6921.71,0.006691,46.3
2020-04-24 11-PM,BTCEUR,6930.68,6939.05,6928.93,6938.85,0.06352,440.37
2020-04-24 10-PM,BTCEUR,6961.76,7027.59,6924.51,6930.68,0.5397,3772.46
2020-04-24 09-PM,BTCEUR,6980.23,6983.97,6961.75,6961.76,0.1045,728.68
2020-04-24 08-PM,BTCEUR,6974.4,6980.24,6962.61,6980.23,0.01878,131.08
2020-04-24 07-PM,BTCEUR,6995.2,7023.32,6964.99,6974.4,0.3771,2642.14
2020-04-24 06-PM,BTCEUR,6965.23,6995.2,6964.51,6995.2,0.02634,183.66
2020-04-24 05-PM,BTCEUR,6967.05,7010,6942.67,6965.23,0.3283,2297.4
2020-04-24 04-PM,BTCEUR,6959.43,7008.17,6914.04,6967.05,0.7388,5137.7
2020-04-24 03-PM,BTCEUR,6988.77,7003.4,6500,6959.43,18.0,122797.15
2020-04-24 02-PM,BTCEUR,6950,6988.77,6874.49,6988.77,0.6776,4705.79
2020-04-24 01-PM,BTCEUR,6957.37,6957.37,6950,6950,0.01579,109.81
2020-04-24 12-PM,BTCEUR,7045,7061.94,6941.47,6957.37,4.898,34075.66
2020-04-24 11-AM,BTCEUR,7084.23,7084.23,6961.28,7045,72.07,509548.52
2020-04-24 10-AM,BTCEUR,7054.68,7126.93,6965.13,7084.23,1.503,10585.34
2020-04-24 09-AM,BTCEUR,7012,7099.3,7012,7054.68,0.653,4628.96
2020-04-24 08-AM,BTCEUR,7059.28,7131.68,7001.74,7012,4.843,34256.99
2020-04-24 07-AM,BTCEUR,7028.31,7059.28,6954.19,7059.28,3.008,21098.85
2020-04-24 06-AM,BTCEUR,6980.34,7028.31,6975.95,7028.31,6.101,42653.33
2020-04-24 05-AM,BTCEUR,6979,7031.59,6975.05,6980.34,0.4402,3084.82
2020-04-24 04-AM,BTCEUR,6995.45,7000.47,6965.75,6979,0.01801,125.64
2020-04-24 03-AM,BTCEUR,6984.77,7005.98,6972.75,6995.45,0.1539,1075.3
2020-04-24 02-AM,BTCEUR,6967.61,6984.77,6946.01,6984.77,0.2595,1811.3
2020-04-24 01-AM,BTCEUR,6969.21,6969.21,6954.73,6967.61,0.5015,3493.7
2020-04-24 12-AM,BTCEUR,6984.83,6984.83,6922.61,6969.21,1.138,7931.06
2020-04-23 11-PM,BTCEUR,6907.18,7056.87,6907.18,6984.83,0.3021,2130.14
2020-04-23 10-PM,BTCEUR,7006.6,7058.99,6907.18,6907.18,0.3844,2687.72
2020-04-23 09-PM,BTCEUR,7009.62,7043,6958.03,7006.6,0.8077,5675.53
2020-04-23 08-PM,BTCEUR,6988.45,7024.02,6952.63,7009.62,0.5457,3819.74
2020-04-23 07-PM,BTCEUR,6979.23,7019.94,6959.72,6988.45,1.445,10106.07
2020-04-23 06-PM,BTCEUR,7027.02,7041.31,6944.84,6979.23,3.626,25359.09
2020-04-23 05-PM,BTCEUR,6980.97,7027.02,6932.47,7027.02,4.575,31991.89
2020-04-23 04-PM,BTCEUR,7000,7012,6905.08,6980.97,3.331,23189.77
2020-04-23 03-PM,BTCEUR,6964,7000,6813.56,7000,0.6455,4503.21
2020-04-23 02-PM,BTCEUR,6700,6964,6699.99,6964,32.39,218523.39
2020-04-23 01-PM,BTCEUR,6690,6700,6660,6700,7.991,53494.93
2020-04-23 12-PM,BTCEUR,6678,6700,6641.6,6690,23.49,157058.98
